'Blueberries' Buckshot | NSWC SEAL: 1672.62 RUB
AUG | Commando Company (Field-Tested): 0.79 RUB
AUG | Commando Company (Minimal Wear): 1.73 RUB
AUG | Commando Company (Well-Worn): 3.30 RUB
AUG | Condemned (Battle-Scarred): 2.36 RUB
AUG | Condemned (Factory New): 62.47 RUB
AUG | Condemned (Field-Tested): 3.03 RUB
AUG | Condemned (Minimal Wear): 7.15 RUB
AUG | Condemned (Well-Worn): 2.94 RUB
AUG | Contractor (Battle-Scarred): 9.00 RUB
AUG | Contractor (Factory New): 32.42 RUB
AUG | Contractor (Field-Tested): 3.48 RUB
AUG | Contractor (Minimal Wear): 3.97 RUB
AUG | Contractor (Well-Worn): 11.84 RUB
AUG | Copperhead (Field-Tested): 6999.98 RUB
AUG | Copperhead (Minimal Wear): 13926.67 RUB
AUG | Daedalus (Battle-Scarred): 525.00 RUB
AUG | Daedalus (Factory New): 530.59 RUB
AUG | Daedalus (Field-Tested): 444.33 RUB
AUG | Daedalus (Minimal Wear): 453.77 RUB
AUG | Daedalus (Well-Worn): 547.49 RUB
AUG | Death by Puppy (Factory New): 1578.19 RUB
AUG | Death by Puppy (Field-Tested): 624.99 RUB
AUG | Death by Puppy (Minimal Wear): 889.39 RUB
AUG | Death by Puppy (Well-Worn): 566.07 RUB
AUG | Eye of Zapems (Battle-Scarred): 326.64 RUB
AUG | Eye of Zapems (Factory New): 2679.25 RUB
AUG | Eye of Zapems (Field-Tested): 416.11 RUB
AUG | Eye of Zapems (Minimal Wear): 1095.00 RUB
AUG | Eye of Zapems (Well-Worn): 397.37 RUB
AUG | Flame Jörmungandr (Factory New): 40951.45 RUB
AUG | Fleet Flock (Battle-Scarred): 1049.71 RUB
AUG | Fleet Flock (Factory New): 3251.44 RUB
AUG | Fleet Flock (Field-Tested): 1044.52 RUB
AUG | Fleet Flock (Minimal Wear): 1180.00 RUB
AUG | Fleet Flock (Well-Worn): 1069.06 RUB
AUG | Hot Rod (Factory New): 68251.15 RUB
AUG | Lil' Pig (Battle-Scarred): 5564.65 RUB
AUG | Lil' Pig (Factory New): 19455.97 RUB
AUG | Lil' Pig (Field-Tested): 6850.00 RUB
AUG | Lil' Pig (Minimal Wear): 15326.34 RUB
AUG | Lil' Pig (Well-Worn): 6897.45 RUB
AUG | Luxe Trim (Battle-Scarred): 17.78 RUB
AUG | Luxe Trim (Factory New): 150.13 RUB
AUG | Luxe Trim (Field-Tested): 20.48 RUB
AUG | Luxe Trim (Minimal Wear): 38.69 RUB
AUG | Luxe Trim (Well-Worn): 18.52 RUB
AUG | Midnight Lily (Factory New): 59327.58 RUB
AUG | Midnight Lily (Field-Tested): 30000.00 RUB
AUG | Midnight Lily (Minimal Wear): 39718.11 RUB
AUG | Momentum (Battle-Scarred): 477.87 RUB
AUG | Momentum (Factory New): 5417.11 RUB
AUG | Momentum (Field-Tested): 475.97 RUB
AUG | Momentum (Minimal Wear): 1489.53 RUB
AUG | Momentum (Well-Worn): 493.76 RUB
AUG | Navy Murano (Battle-Scarred): 177.53 RUB
AUG | Navy Murano (Factory New): 776.88 RUB
AUG | Navy Murano (Field-Tested): 264.20 RUB
AUG | Navy Murano (Minimal Wear): 346.00 RUB
AUG | Navy Murano (Well-Worn): 253.27 RUB
